brand,product_name,price,product_category,type_category,url,ingredients
Arbonne,RE9 Advanced Extra Moisture Restorative Cream,cheap,"dry,sen0",moisturizer,https://www.arbonne.com/pws/PublicStore/26-10671-FullsizeProductImage.image.ashx,"water, glycerin, octyldodecyl neopentanoate, dimethicone, potassium cetyl phosphate, VP/eicosene copolymer, cetearyl alcohol, cocoyl proline, isopropyl isostearate, glyceryl distearate, hippophae rhamnoides oil, citrus aurantium dulcis (orange) peel oil, persea gratissima (avocado) oil, borago officinalis seed oil, olea europaea (olive) oil unsaponifiables, fagus sylvatica bud extract, pueraria lobata root extract, lavandula stoechas extract, laminaria digitata extract, cucumis sativus (cucumber) fruit extract, hypericum perforatum extract, nasturtium officinale extract, panax ginseng root extract, trifolium pratense (clover) flower extract, betula alba leaf extract, aloe barbadensis leaf juice, glycine soja (soybean) protein, valine, glycine, butylene glycol, tocopherol, tocopheryl acetate, retinyl palmitate, ascorbyl palmitate, tetrahexyldecyl ascorbate, hydrogenated lecithin, lecithin, glyceryl stearate, carbomer, polysorbate 20, palmitoyl tripeptide-1, palmitoyl tetrapeptide-7, panthenol, stearamine, urea, polyamino sugar condensate, sodium PCA, sorbitan stearate, squalane, phytosterols, C12-15 alkyl benzoate, sodium lauroyl methyl isethionate, disodium cocoamphodiacetate, sodium dextran sulfate, acrylates/C10-30 alkyl acrylate crosspolymer, phytic acid, aminomethyl propanol, caprylyl glycol, caprylic/capric triglyceride, caprylhydroxamic acid, sodium hyaluronate, gluconolactone, sodium dehydroacetate, sodium benzoate, calcium gluconate"
MuLondon,Fragrance Free Moisturiser,normal,"dry,sen0",moisturizer,https://www.mulondon.com/pub/media/catalog/product/cache/image/700x560/af097278c5db4767b0fe9bb92fe21690/m/u/mulondon-fragrance-free-moisturiser.png,"Vitellaria paradoxa, Cocos nucifera, Simmondsia chinensis,
Rosmarinus officinalis, Helianthus annuus"
Skyn Iclenad,Pure Cloud Cream,expensive,"dry,sen0",moisturizer,https://www.skyniceland.com/_video/products/poster_PCC.jpg,"Sodium hyaluronate, Oat extract, neuropeptide, Hydrolyzed rice protein, Bisabolol, Aloe, Almond oil, Icelandic Complex, Water, Hydrogenated Didecene, Butylene Glycol, Glyceryl Stearate, Bisabolol, Prunus Amygdalus Dulcis Oil, Sodium Hyaluronate, Hydrolyzed Rice Protein, Angelica Archangelica Root Water, Acetyl Dipeptide-1 Cetyl Ester, Leuconostoc, Radish Root Ferment Filtrate, Camellia Oleifera Leaf Extract, Glycerin, Glyceryl Caprylate, Rubus Chamaemorus Seed Oil, Simmondsia Chinensis Seed Oil, Acrylates,C10-30 Alkyl Acrylate Crosspolymer, Canola Oil, Cetyl Alcohol, Cetyl Ricinoleate, Sorbitan Stearate, Stearic Acid, Citrus Grandis Peel Oil, Triceteareth-4 Phosphate, Silica, Zea Mays Starch, Glyceryl Undecylenate, Laureth-3, Sodium Hydroxide, Aloe Barbadensis Leaf Juice, Hydroxyethylcellulose, Perfluorodecalin, Potassium Sorbate, Sodium Polyacrylate, Ethylhexyl Stearate, Sodium Benzoate, Buddleja Davidii Extract, Glycosphingolipids, Sucrose Palmitate, Thymus Vulgaris Flower Extract, Trideceth-6, Xanthan Gum, Biotin"
ESPA,ESPA Overnight Hydration Therapy,cheap,"dry,sen1",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11553606-2034539506155923.jpg,"Water (Aqua), Glycerin, Polyglyceryl-2 Stearate, Glyceryl Stearate, Stearyl Alcohol, Xylitylglucoside, Ethylhexyl Palmitate, Anhydroxylitol, Benzyl Alcohol, Xylitol, Ascorbyl Glucoside, Xanthan Gum, Lavandula Hybrida Oil, Linalool, Sodium PCA, Lavandula Angustifolia (Lavender) Oil, Dehydroacetic Acid, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Leaf Oil, Cichorium Intybus (Chicory) Root Extract, Trihydroxystearin, Phenoxyethanol, Magnesium PCA, Eugenol, Hydrolyzed Yeast Protein, Caprylyl Glycol, Juniperus Mexicana Oil, Ethylhexylglycerin, Sorbitol, Zinc PCA, Abies Sibirica Oil, Cananga Odorata Flower Oil, Lecithin, Pelargonium Grave Oil Oil, Pogostemon Cablin Leaf Oil, Acacia Senegal Gum, Limonene, Citric Acid, Sodium Benzoate, Tocopheryl Acetate, Geraniol, Glucose, Sodium Hyaluronate, Sodium Hydroxide, Manganese PCA ,Evernia Prunastri (Oakmoss) Extract, Potassium Sorbate, Citronellol, Glyceryl Linoleate, Glyceryl Linolenate, Boswellia Carterii Oil, Bulnesia Sarmientoi Wood Oil, Cistus Ladaniferus Oil, Chitosan, Retinyl Palmitate, Sodium Ascorbyl Phosphate, Disodium EDTA, Chondrus Crispus Extract, Glyceryl Caprylate, Amorphophallus Konjac Root Powder"
Origins,Ginzing,normal,"dry,sen1",moristurizer,https://s1.thcdn.com/productimg/1600/1600/11138330-1184608417798909.jpg,"Water\Aqua\Eau , Methyl Trimethicone , Butylene Glycol , Glycerin , Jojoba Esters , Panthenol , Dicaprylyl Carbonate , Citrus Limon (Lemon) Peel Oil*, Citrus Grandis (Grapefruit) Peel Oil*, Mentha Viridis (Spearmint) Leaf Oil*, Limonene , Aloe Barbadensis Leaf Extract , Butyrospermum Parkii (Shea Butter) , Simmondsia Chinensis (Jojoba) Butter , Castanea Sativa (Chestnut) Seed Extract , Rubus Idaeus (Raspberry) Leaf Wax , Dimethicone , Coleus Barbatus Extract , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Trehalose , Triticum Vulgare (Wheat) Germ Extract , Panax Ginseng (Ginseng) Root Extract , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Salicylic Acid , Foeniculum Vulgare (Fennel) Seed Extract , Rosmarinus Officinalis (Rosemary) Leaf Extract , Phospholipids , Tocopheryl Acetate , Sodium Pca , Arginine , Caffeine , Cholesterol , Linoleic Acid , Biotin , Folic Acid , Tetrahexyldecyl Ascorbate , Polysilicone-11 , Carbomer , Pantethine , Squalane , Sodium Hyaluronate , Hexylene Glycol , Lecithin , Calcium Carbonate , Caprylyl Glycol , Ethylhexylglycerin , Tromethamine , Phenoxyethanol"
LA ROCHE-POSAY,La Roche-Posay Nutritic Intense Rich,expensive,"dry,sen1",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11091859-1864588271649438.jpg,"60971721 Aqua/Water Glycerin Cetearyl Alcohol Caprylic/Capric Triglyceride Glyceryl Stearate Alcohol Denat. Ethylhexyl Palmitate Dimethicone Butyrospermum Parkii Butter/Shea Butter Myristyl Myristate Niacinamide PEG-100 Stearate Glycine Soja Oil / Soybean Oil Sodium Polycrylate Myristyl Malate Phosphonic Acid Disodium EDTA Caprylyl Glycol Citric Acid Tocopherol Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate Phenoxyethanol Parfum/Fragrance (Code F.I.L.: B158565/1)"
The Hero Project,Glow Drops Dry Touch Facial Oil + Vitamin C,cheap,"oily,sen0",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11342145-5004433803601697.jpg,"Caprylic/Capric Triglyceride, Cannabis Sativa (Hemp) Seed Oil, Plukenetia Volubilis Seed Oil, Argania Spinosa Kernel Oil, Tetrahexyldecyl Ascorbate, Pelargonium Graveolens (Geranium) Flower Oil, Rosa Damascena (Rose) Flower Oil, Vetiveria Zizanoides (Vetivert) Root Oil, Origanum Majorana (Marjoram) Leaf Oil, Daucus Carota Sativa (Carrot) Seed Oil, Citrus Limon (Lemon) Peel Oil, Linalool, Citrus Grandis (Grapefruit) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Geraniol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Limonene, Cedrus Atlantica (Cedarwood) Bark Oil, Citronellol, Citral"
Little Butterfly,London Blossoms in Spring Illuminating Day Cream,normal,"oily,sen0",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11975695-1834635133410279.jpg,"Aqua (Purified Water), Aloe Barbadensis (Aloe Vera) Leaf Juice*, Coco-Caprylate, Cetearyl Alcohol, Glycerin, Glyceryl Stearate, Prunus Persica (Peach) Kernel Oil*, Cetearyl Glucoside, Glyceryl Caprylate, Tocopherol (Vitamin E), Benzyl Alcohol, Sodium Stearoyl Glutamate, Citric Acid, Vitis Vinifera (Grape) Seed Oil*, Xanthan Gum, Argania Spinosa (Argan) Extract, Borago Officinalis (Borage) Seed Oil, Carica Papaya Seed Oil, Cucumis Sativus (Cucumber) Oil, Parfum** (Fragrance), Passiflora Incarnata (Passionflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil*, Maltodextrin, Sodium Phytate, Dehydroacetic Acid, Morus Alba (White Mulberry) Root Extract, Sodium Benzoate, Lactic Acid, Potassium Sorbate, Arctium Lappa (Burdock) Root Extract*, Camellia Sinensis (Green Tea) Leaf Extract*, Euterpe Oleracea (Acai) Fruit Extract*, Ocimum Sanctum (Holy Basil) Leaf Extract*, Punica Granatum (Pomegranate) Fruit Extract"
Omorovicza,Cant Live Without,expensive,"oily,sen0",moisturizer,https://s1.thcdn.com/productimg/1600/1600/12029419-5654644508613166.jpg,"Aqua (Hungarian Thermal Water), Glycerin, Cetearyl Ethylhexanoate, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Caprylic/Capric Triglyceride, Cetearyl Olivate, Stearyl Heptanoate, Butyrospermum Parkii (Shea Butter), Corundum (Pro Ruby Crystal), Sorbitan Olivate, Cetearyl Alcohol, Saccharomyces (Hungarian Thermal Water) Ferment Extract, Mannitol, Phenoxyethanol, Malpighia Punicifolia (Acerola) Fruit Extract, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Domestica Seed Extract, Pyrus Malus (Apple) Fruit Extract, Parfum (Fragrance), Tocopherol, Xanthan Gum, Ethylhexylglycerin, Linalool, Phospholipids, Yeast Extract, Chlorella Vulgaris/Lupinus Albus Protein Ferment, Pectin, Limonene, Geraniol"
Jack Black,Clean Break Oil-Free Moisturiser,cheap,"oily,sen1",moisturizer,https://s1.thcdn.com/productimg/960/960/11296511-1544395908731116.jpg,"Water (Eau), Cyclopentasiloxane, Octyldodecyl Neopentanoate, Niacinamide, Sodium Hyaluronate, Camellia Sinensis (White Tea) Extract*, Macrocystis Pyrifera (Sea Kelp) Extract*, Ocimum Basilicum (Basil) Extract*, Tocopheryl Acetate, Glycerin, Dimethicone, Glycereth-26, Cetearyl Glucoside, Carbomer, Hydroxypropyl Starch Phosphate, Hydroxyethyl Acrylate/Sodium Acryloyl Dimethyl Taurate Copolymer, Undecylenoyl Glycine, Disodium EDTA, Butylene Glycol, Capryloyl Glycine, Sodium Hydroxide, Phenoxyethanol"
